needs_review,sheet_name,dominant_source_code,channel_hint,proposed_db_name,db_lead_count,days_with_spend,total_spend,has_dec2025_anomaly,match_reason,match_score,alternatives,action
,"ACL-Tears-Meniscus-ACL-M1 & M2, Facebook",ACL-M1& M2,facebook,ACL-Tears-Meniscus-ACL-M2,9,13,18381.00,,treatment+code-tail+fb,91,ACL-Tears-Meniscus-ACL-M1 (45),MAP
,"ACL-Tears-Meniscus-ACL-M1, Facebook",ACL-M1,facebook,ACL-Tears-Meniscus-ACL-M1,67,25,37085.00,,treatment+code-tail+fb,95,ACL-Tears-Meniscus-ACL-M2 (41),MAP
,Axillary-Breast-Pune-ABP1 January 2026,ABP1,facebook,Axillary-Breast-Pune-ABP1,1,2,9691.00,,treatment+city+code-tail,105,,MAP
,Bariatric-Mumbai- Feb 2026,BM1,facebook,Bariatric-Mumbai-BM1,3,2,1711.00,,treatment+city+code-tail,105,,MAP
,Bariatric-Mumbai- January 2026,BM1,facebook,Bariatric-Mumbai-BM1,3,20,15556.00,,treatment+city+code-tail,105,,MAP
,Bariatric-Pune-Feb 2026,BP1 & BP1.1,facebook,Bariatric-Pune-BP1.1,10,3,4983.00,,treatment+city,56,,MAP
,Bariatric-Pune-January 2026,BP1,facebook,Bariatric-Pune-BP1.1,10,22,36994.00,,treatment+city+code-substr,76,,MAP
,Bariatric-Pune-March 2026,BP1 & BP1.1,facebook,Bariatric-Pune-BP1.1,10,0,0.00,,treatment+city,56,,MAP
,Cataract - Mumbai FB January 2026,CL M1,facebook,Cataract-Mumbai-CL-M1,3,17,29734.00,,treatment+city+code-tail+fb,115,,MAP
,Cataract -Delhi FB January 2026,CL D2,facebook,Cataract-Delhi-CL-D1,1,8,10710.00,,treatment+city+fb,65,,MAP
,Cataract leads,CL-D1,facebook,Cataract-Delhi-CL-D1,1,0,0.00,,treatment+code-tail,80,Cataract-Mumbai-CL-M1 (30),MAP
,"Cataract-Delhi-CL-D1, Facebook",CL-D1,facebook,Cataract-Delhi-CL-D1,1,2,827.00,,treatment+city+code-tail+fb,115,,MAP
,"Cataract-Mumbai-CL-M1, Facebook",CL-M1,facebook,Cataract-Mumbai-CL-M1,3,1,415.00,,treatment+city+code-tail+fb,115,,MAP
,Circumcision Delhi Google April 2026,Cir D,google,Circumcision Delhi Google,3,12,24604.00,,treatment+city+google,70,,MAP
,Circumcision Delhi Google January 2026,CirD,google,Circumcision Delhi Google,3,1,2202.00,,treatment+city+google,70,,MAP
,Circumcision Delhi Google March 2026,Cir Noida,google,Circumcision Delhi Google,3,5,16714.00,,treatment+city+google,70,,MAP
,Circumcision Mumbai Google April 2026,Cir MUM,google,Circumcision Mumbai Google ,118,23,91212.00,,treatment+city+google,75,,MAP
,Circumcision Mumbai Google Feb 2026,Cir MUM,google,Circumcision Mumbai Google ,118,25,90531.00,,treatment+city+google,75,,MAP
,Circumcision Mumbai Google January 2026,Cir MUM,google,Circumcision Mumbai Google ,118,22,72322.00,,treatment+city+google,75,,MAP
,Circumcision Mumbai Google March 2026,Cir MUM,google,Circumcision Mumbai Google ,118,27,65192.00,,treatment+city+google,75,,MAP
info,Circumcision Noida Google March 2026,Cir Noida,google,Circumcision Noida Google,0,0,0.00,,no-match,0,,SKIP
,Circumcision Pune Google April 2026,Cir P,google,Circumcision Pune Google,87,27,101067.00,,treatment+city+google,75,,MAP
,Circumcision Pune Google Feb 2026,Cir P,google,Circumcision Pune Google,87,17,76232.00,,treatment+city+google,75,,MAP
,Circumcision Pune Google January 2026,Cir P,google,Circumcision Pune Google,87,24,97357.00,,treatment+city+google,75,,MAP
,Circumcision Pune Google March 2026,Cir P,google,Circumcision Pune Google,87,22,81860.00,,treatment+city+google,75,,MAP
YES_FIX,Circumcision-Bangalore-CB1,CB1,facebook,Circumcision-Bangalore-CB1,0,5,5769.00,,distinctive-code-no-db-match,0,,SKIP
YES_FIX,Circumcision-Delhi CD3,CD3,facebook,Circumcision-Delhi CD3,0,6,8493.00,,distinctive-code-no-db-match,0,,SKIP
